"STATION","DATE","TAVG","TMAX","TMIN"
"AR000870470","2022-02-13","16.8",,"14.0"
"AR000870470","2022-02-14","18.1",,
"AR000870470","2022-02-15","21.1",,"13.0"
"AR000870470","2022-02-16","22.9",,
"AR000870470","2022-02-17","20.9","31.4",
"AR000870470","2022-02-18","20.2",,
"AR000870470","2022-02-19","21.9",,
"AR000870470","2022-02-20","21.8","28.2","18.0"
"AR000870470","2022-02-21","21.5","30.8",
"AR000870470","2022-02-22","19.1","26.9",
"AR000870470","2022-02-23","19.6","22.6","16.7"
"AR000870470","2022-02-24","22.3",,
"AR000870470","2022-02-25","23.3","30.6","18.9"
"AR000870470","2022-02-26","23.7",,
"AR000870470","2022-02-27","25.7",,
"AR000870470","2022-02-28","24.1","33.2",
"AR000870470","2022-03-01","18.8",,"16.5"
"AR000870470","2022-03-02","20.6",,"14.8"
"AR000870470","2022-03-03","22.0","28.6","17.7"
"AR000870470","2022-03-04","23.1",,
"AR000870470","2022-03-05","24.4",,
"AR000870470","2022-03-06","24.9","31.4",
"AR000870470","2022-03-07","23.7",,
"AR000870470","2022-03-08","20.6","29.4",
"AR000870470","2022-03-09","21.1","25.0",
"AR000870470","2022-03-10","18.7","25.0",
"AR000870470","2022-03-11","16.4","19.2",
"AR000870470","2022-03-12","17.7",,"14.8"
"AR000870470","2022-03-13","16.6",,
"AR000870470","2022-03-14","18.9",,"14.1"
"AR000870470","2022-03-15","19.8",,
"AR000870470","2022-03-16","18.8","28.6","11.5"
"AR000870470","2022-03-17","20.0",,
"AR000870470","2022-03-18","19.6","28.0",
"AR000870470","2022-03-19","15.7","27.1","13.0"
"AR000870470","2022-03-20","15.4","19.0","13.5"
"AR000870470","2022-03-21","16.8",,"13.8"
"AR000870470","2022-03-22","20.2",,
"AR000870470","2022-03-23","21.5",,
"AR000870470","2022-03-24","18.2","28.0",
"AR000870470","2022-03-25","15.7",,
"AR000870470","2022-03-26","15.6",,"7.0"
"AR000870470","2022-03-27","15.9",,"7.0"
"AR000870470","2022-03-28","18.2",,
"AR000870470","2022-03-29","21.2",,"12.0"
"AR000870470","2022-03-30","13.3",,
"AR000870470","2022-03-31","10.7",,"6.0"
"AR000870470","2022-04-01","12.3",,"4.6"
"AR000870470","2022-04-02","13.7",,
"AR000870470","2022-04-03","15.0",,"4.3"
"AR000870470","2022-04-04","16.6","27.5","7.5"
"AR000870470","2022-04-05","18.7","24.2",
"AR000870470","2022-04-06","18.4",,
"AR000870470","2022-04-07","19.3",,"11.6"
"AR000870470","2022-04-08","19.9",,"14.8"
"AR000870470","2022-04-09","20.3",,
"AR000870470","2022-04-10","20.6",,
"AR000870470","2022-04-11","20.6","28.2","13.0"
"AR000870470","2022-04-12","19.7","27.5","15.6"
"AR000870470","2022-04-13","15.9","24.5",
"AR000870470","2022-04-14","14.1",,"12.0"
"AR000870470","2022-04-15","14.3",,"11.7"
"AR000870470","2022-04-16","16.1",,"12.0"
"AR000870470","2022-04-17","15.7",,
"AR000870470","2022-04-18","14.6",,"7.0"
"AR000870470","2022-04-19","15.1","22.5",
"AR000870470","2022-04-20","17.1",,
"AR000870470","2022-04-21","17.9",,"10.0"
"AR000870470","2022-04-22","18.7",,"9.8"
"AR000870470","2022-04-23","17.7","30.5",
"AR000870470","2022-04-24","18.1",,
"AR000870470","2022-04-25","19.0",,"9.8"
"AR000870470","2022-04-26","17.6","30.2",
"AR000870470","2022-04-27","17.7",,
"AR000870470","2022-04-28","17.8","26.0",
"AR000870470","2022-04-29","14.6","26.1","11.9"
"AR000870470","2022-04-30","14.3","17.6","12.0"
"AR000870470","2022-05-01","14.2",,
"AR000870470","2022-05-02","13.1","16.8","11.4"
"AR000870470","2022-05-03","11.4",,"2.5"
"AR000870470","2022-05-04","11.8",,"2.0"
"AR000870470","2022-05-05","12.3","23.4","2.7"
"AR000870470","2022-05-06","12.1",,
"AR000870470","2022-05-07","13.4","21.9","7.4"
"AR000870470","2022-05-08","14.9","20.0","11.6"
"AR000870470","2022-05-09","14.2",,"6.7"
"AR000870470","2022-05-10","16.2",,"9.0"
"AR000870470","2022-05-11","15.1","23.6",
"AR000870470","2022-05-12","13.1","20.3","5.7"
"AR000870470","2022-05-13","14.8",,
"AR000870470","2022-05-14","15.1","22.6","7.8"
"AR000870470","2022-05-15","13.0","18.3",
"AR000870470","2022-05-16","9.4","14.0",
"AR000870470","2022-05-17","10.1",,
"AR000870470","2022-05-18","8.4",,
"AR000870470","2022-05-19","9.2",,"0.7"
"AR000870470","2022-05-20","10.2",,
"AR000870470","2022-05-21","11.1","22.6","3.4"
"AR000870470","2022-05-22","10.8",,"1.5"
"AR000870470","2022-05-23","11.7",,"2.1"
"AR000870470","2022-05-24","13.7",,"4.0"
"AR000870470","2022-05-25","16.1","26.6","5.8"
"AR000870470","2022-05-26","15.1","25.0","9.2"
"AR000870470","2022-05-27","13.3",,
"AR000870470","2022-05-28","12.7","21.3","8.2"
"AR000870470","2022-05-29","8.6","16.2",
"AR000870470","2022-05-30","9.3","12.0",
"AR000870470","2022-05-31","7.7","10.6","6.8"
"AR000870470","2022-06-01","8.2",,
"AR000870470","2022-06-02","8.2","12.2","6.3"
"AR000870470","2022-06-03","9.1",,
"AR000870470","2022-06-04","5.2","15.2","-2.0"
"AR000870470","2022-06-05","8.1",,"-2.0"
"AR000870470","2022-06-06","13.6",,"3.1"
"AR000870470","2022-06-07","11.0","22.5","2.0"
"AR000870470","2022-06-08","11.8","22.2",
"AR000870470","2022-06-09","13.3",,"3.1"
"AR000870470","2022-06-10","13.1","24.3","8.1"
"AR000870470","2022-06-11","10.2","14.4",
"AR000870470","2022-06-12","10.2",,
"AR000870470","2022-06-13","8.7",,
"AR000870470","2022-06-14","10.3",,"0.3"
"AR000870470","2022-06-15","10.8","22.6","1.0"
"AR000870470","2022-06-16","9.2","22.5","0.4"
"AR000870470","2022-06-17","9.4",,"0.5"
"AR000870470","2022-06-18","6.9","19.9",
"AR000870470","2022-06-19","7.8",,"-4.3"
"AR000870470","2022-06-20","8.3","24.2","-5.0"
"AR000870470","2022-06-21","9.2",,
"AR000870470","2022-06-22","10.1","22.5","1.8"
"AR000870470","2022-06-23","7.8",,
"AR000870470","2022-06-24","6.3",,
"AR000870470","2022-06-25","5.8","13.2",
"AR000870470","2022-06-26","6.9",,"4.6"
"AR000870470","2022-06-27","6.2",,"-0.2"
"AR000870470","2022-06-28","10.7",,"2.6"
"AR000870470","2022-06-29","8.4",,"-1.7"
"AR000870470","2022-06-30","10.3","23.2",
"AR000870470","2022-07-01","10.3",,"-1.8"
"AR000870470","2022-07-02","11.4","25.8","2.4"
"AR000870470","2022-07-03","12.4","18.4",
"AR000870470","2022-07-04","9.4",,"-1.2"
"AR000870470","2022-07-05","10.2","23.4","2.4"
"AR000870470","2022-07-06","11.4",,"3.0"
"AR000870470","2022-07-07","10.3","21.5",
"AR000870470","2022-07-08","10.4",,"2.6"
"AR000870470","2022-07-09","13.7",,"3.0"
"AR000870470","2022-07-10","25.9",,
"AR000870470","2022-07-11","14.4",,"8.2"
"AR000870470","2022-07-12","7.3","17.2","-2.4"
"AR000870470","2022-07-13","6.5",,"-3.5"
"AR000870470","2022-07-14","10.7",,"-3.8"
"AR000870470","2022-07-15","19.3","26.6",
"AR000870470","2022-07-16","7.7","20.0",
"AR000870470","2022-07-17","7.8",,"-1.3"
"AR000870470","2022-07-18","7.9",,
"AR000870470","2022-07-19","8.8","24.7","-0.8"
"AR000870470","2022-07-20","9.6",,"0.7"
"AR000870470","2022-07-21","14.2",,"1.8"
"AR000870470","2022-07-22","14.4","28.0",
"AR000870470","2022-07-23","14.6","25.2","5.9"
"AR000870470","2022-07-24","15.7",,"6.6"
"AR000870470","2022-07-25","17.6","27.4","8.6"
"AR000870470","2022-07-26","18.7",,"8.9"
"AR000870470","2022-07-27","20.6",,"11.7"
"AR000870470","2022-07-28","15.9","29.6",
"AR000870470","2022-07-29","11.2",,
"AR000870470","2022-07-30","11.4",,"1.9"
"AR000870470","2022-07-31","12.6",,"3.5"
"AR000870470","2022-08-01","13.1","24.5","3.7"
"AR000870470","2022-08-02","14.6",,"3.6"
"AR000870470","2022-08-03","15.4","26.0","8.3"
"AR000870470","2022-08-04","13.2",,"7.0"
"AR000870470","2022-08-05","14.7","20.8",
"AR000870470","2022-08-06","12.3",,"2.8"
"AR000870470","2022-08-07","12.3","22.6","3.2"
"AR000870470","2022-08-08","10.7","20.6","5.4"
"AR000870470","2022-08-09","8.4",,"5.4"
"AR000870470","2022-08-10","6.6",,"-1.3"
"AR000870470","2022-08-11","8.9",,"-1.3"
"AR000870470","2022-08-12","10.6",,"-0.5"
"AR000870470","2022-08-13","14.2",,"3.2"
"AR000870470","2022-08-14","15.6",,"4.2"
"AR000870470","2022-08-15","16.7",,"4.5"
"AR000870470","2022-08-16","13.7",,"2.3"
"AR000870470","2022-08-17","12.9",,"0.6"
"AR000870470","2022-08-18","9.6",,"3.5"
"AR000870470","2022-08-19","7.8",,"-2.6"
"AR000870470","2022-08-20","8.6",,"-1.8"
"AR000870470","2022-08-21","9.8",,"-0.8"
"AR000870470","2022-08-22","11.0","21.5","-0.9"
"AR000870470","2022-08-23","11.9",,"0.3"
"AR000870470","2022-08-24","14.7",,"2.4"
"AR000870470","2022-08-25","18.0",,"6.0"
"AR000870470","2022-08-26","19.4","30.5","8.7"
"AR000870470","2022-08-27","19.8",,"6.5"
"AR000870470","2022-08-28","14.2",,
"AR000870470","2022-08-29","12.2",,"3.3"
"AR000870470","2022-08-30","9.8",,"-1.0"
"AR000870470","2022-08-31","12.5",,"0.7"
"AR000870470","2022-09-01","16.0",,"0.7"
"AR000870470","2022-09-02","13.9","26.8","11.3"
"AR000870470","2022-09-03","12.4",,"7.2"
"AR000870470","2022-09-04","13.3",,"4.0"
"AR000870470","2022-09-05","12.7",,"2.5"
"AR000870470","2022-09-06","13.9",,"1.9"
"AR000870470","2022-09-07","15.8",,"2.0"
"AR000870470","2022-09-08","19.0",,"5.4"
"AR000870470","2022-09-09","14.1",,
"AR000870470","2022-09-10","10.7",,"0.5"
"AR000870470","2022-09-11","11.2",,"1.4"
"AR000870470","2022-09-12","13.4",,"2.8"
"AR000870470","2022-09-13","13.8","24.4","2.9"
"AR000870470","2022-09-14","15.4","23.2",
"AR000870470","2022-09-15","13.2",,"1.7"
"AR000870470","2022-09-16","13.8",,"2.1"
"AR000870470","2022-09-17","16.7",,"6.5"
"AR000870470","2022-09-18","19.5",,"5.8"
"AR000870470","2022-09-19","17.9","34.0","9.8"
"AR000870470","2022-09-20","14.7","24.4","12.4"
"AR000870470","2022-09-21","14.7",,"11.3"
"AR000870470","2022-09-22","13.3",,
"AR000870470","2022-09-23","14.7","21.6","5.4"
"AR000870470","2022-09-24","14.2",,"3.6"
"AR000870470","2022-09-25","16.0",,"3.2"
"AR000870470","2022-09-26","16.8","28.0",
"AR000870470","2022-09-27","17.1","26.0","8.3"
"AR000870470","2022-09-28","12.0","24.4","8.3"
"AR000870470","2022-09-29","10.7",,
"AR000870470","2022-09-30","13.4",,"3.8"
"AR000870470","2022-10-01","16.3",,"5.7"
"AR000870470","2022-10-02","16.6","26.5","7.5"
"AR000870470","2022-10-03","17.7",,"8.4"
"AR000870470","2022-10-04","19.2",,"8.5"
"AR000870470","2022-10-05","21.8",,"9.2"
"AR000870470","2022-10-06","19.0","34.5","11.0"
"AR000870470","2022-10-07","17.4","26.6","6.7"
"AR000870470","2022-10-08","19.6",,"7.6"
"AR000870470","2022-10-09","14.1",,"9.6"
"AR000870470","2022-10-10","11.4",,"1.0"
"AR000870470","2022-10-11","13.8",,"3.7"
"AR000870470","2022-10-12","15.4",,"4.6"
"AR000870470","2022-10-13","17.7",,"4.6"
"AR000870470","2022-10-14","17.7",,
"AR000870470","2022-10-15","18.3","22.6",
"AR000870470","2022-10-16","16.4","22.5","9.8"
"AR000870470","2022-10-17","16.3",,"14.0"
"AR000870470","2022-10-18","15.2","21.6",
"AR000870470","2022-10-19","18.1",,"11.8"
"AR000870470","2022-10-20","18.9","26.4","14.8"
"AR000870470","2022-10-21","20.2",,
"AR000870470","2022-10-22","19.5","29.0","9.0"
"AR000870470","2022-10-23","20.7","29.1",
"AR000870470","2022-10-24","21.6",,
"AR000870470","2022-10-25","23.9",,"13.5"
"AR000870470","2022-10-26","23.6","32.4","13.5"
"AR000870470","2022-10-27","22.4","31.4","12.6"
"AR000870470","2022-10-28","21.6",,"10.3"
"AR000870470","2022-10-29","24.7",,
"AR000870470","2022-10-30","23.7","37.7","12.9"
"AR000870470","2022-10-31","12.0",,"8.5"
"AR000870470","2022-11-01","12.5",,"2.4"
"AR000870470","2022-11-02","14.1",,"2.7"
"AR000870470","2022-11-03","15.5",,"4.3"
"AR000870470","2022-11-04","16.2",,"5.2"
"AR000870470","2022-11-05","18.1",,"7.0"
"AR000870470","2022-11-06","19.8",,"9.6"
"AR000870470","2022-11-07","22.3",,"12.0"
"AR000870470","2022-11-08","21.8","29.5","12.1"
"AR000870470","2022-11-09","21.7","29.5","13.1"
"AR000870470","2022-11-10","23.6",,"14.7"
"AR000870470","2022-11-11","24.2","32.6",
"AR000870470","2022-11-12","25.4",,"15.0"
"AR000870470","2022-11-13","21.1","34.0","14.9"
"AR000870470","2022-11-14","19.7","29.5",
"AR000870470","2022-11-15","20.5",,"9.8"
"AR000870470","2022-11-16","23.8",,"14.4"
"AR000870470","2022-11-17","25.0",,"16.0"
"AR000870470","2022-11-18","24.7",,"14.8"
"AR000870470","2022-11-19","25.4",,"15.8"
"AR000870470","2022-11-20","25.7",,"18.8"
"AR000870470","2022-11-21","18.1","34.3",
"AR000870470","2022-11-22","17.2",,"13.0"
"AR000870470","2022-11-23","20.6",,"10.0"
"AR000870470","2022-11-24","23.7",,"12.2"
"AR000870470","2022-11-25","24.4","34.3","13.3"
"AR000870470","2022-11-26","24.4","34.2","13.3"
"AR000870470","2022-11-27","25.3",,"14.8"
"AR000870470","2022-11-28","25.1","34.6","15.0"
"AR000870470","2022-11-29","23.8","33.4","16.1"
"AR000870470","2022-11-30","21.8","33.0","16.7"
"AR000870470","2022-12-01","18.1","31.8",
"AR000870470","2022-12-02","19.1",,"14.0"
"AR000870470","2022-12-03","21.3",,"12.5"
"AR000870470","2022-12-04","23.1",,"14.4"
"AR000870470","2022-12-05","24.6","33.0","17.1"
"AR000870470","2022-12-06","25.6",,"16.0"
"AR000870470","2022-12-07","27.7",,"20.0"
"AR000870470","2022-12-08","26.4",,
"AR000870470","2022-12-09","26.3","38.6","18.0"
"AR000870470","2022-12-10","23.8","36.0","19.2"
"AR000870470","2022-12-11","24.4",,"18.6"
"AR000870470","2022-12-12","27.0",,
"AR000870470","2022-12-13","24.1","35.8","18.0"
"AR000870470","2022-12-14","24.4",,"18.2"
"AR000870470","2022-12-15","24.2","31.2","19.6"
"AR000870470","2022-12-16","20.7","29.5","16.4"
"AR000870470","2022-12-17","19.2","25.4","13.9"
"AR000870470","2022-12-18","19.1",,"14.7"
"AR000870470","2022-12-19","22.2",,"14.6"
"AR000870470","2022-12-20","23.4",,"16.0"
"AR000870470","2022-12-21","23.4",,"16.6"
"AR000870470","2022-12-22","25.2",,"16.8"
"AR000870470","2022-12-23","24.8",,"16.2"
"AR000870470","2022-12-24","19.7","34.2","15.5"
"AR000870470","2022-12-25","15.4","24.6",
"AR000870470","2022-12-26","14.6",,"12.2"
"AR000870470","2022-12-27","18.8",,"11.7"
"AR000870470","2022-12-28","21.7",,"13.5"
"AR000870470","2022-12-29","19.9","29.7","16.0"
"AR000870470","2022-12-30","21.6",,"14.4"
"AR000870470","2022-12-31","23.8",,"19.0"
